"","UserID","Monetary","Frequency","Recency","rankR","rankF","rankM","rankRMF","rankR1","rankF1","rankM1","rankRMF1","M_S","F_S","R_S","Custom"
"96",14663,5630,15,11,4,4,2,442,0.945812807881773,0.523809523809524,0.38467583497053,3.6,1,2,2,"重点保护客户"
"97",14664,5698,12,40,2,2,2,222,0.802955665024631,0.380952380952381,0.390019646365422,2,1,1,1,"潜在客户"
"98",14665,5482,12,0,5,2,2,522,1,0.380952380952381,0.373045186640472,3.5,1,1,2,"一般发展客户"
"99",14666,9737,18,17,3,5,5,355,0.916256157635468,0.666666666666667,0.707426326129666,4,2,2,1,"重点保持客户"
"100",14667,5726,11,15,3,2,2,322,0.926108374384236,0.333333333333333,0.392220039292731,2.5,1,1,1,"潜在客户"
"101",14668,6013,14,4,5,3,3,533,0.980295566502463,0.476190476190476,0.414774066797642,4,1,2,2,"重点保护客户"
"102",14669,2708,6,12,4,1,1,411,0.940886699507389,0.0952380952380952,0.155049115913556,2.5,1,1,2,"一般发展客户"
"103",14670,7226,12,2,5,2,4,524,0.990147783251232,0.380952380952381,0.510098231827112,3.9,2,1,2,"重点发展客户"
"104",14671,8723,18,6,5,5,5,555,0.970443349753695,0.666666666666667,0.627740667976424,5,2,2,2,"高价值客户"
"105",14672,5943,12,31,2,2,3,223,0.847290640394089,0.380952380952381,0.409273084479371,2.2,1,1,1,"潜在客户"
"106",14673,6188,11,12,4,2,3,423,0.940886699507389,0.333333333333333,0.42852652259332,3.2,1,1,2,"一般发展客户"
"107",14674,6208,10,51,1,1,3,113,0.748768472906404,0.285714285714286,0.430098231827112,1.4,1,1,1,"潜在客户"
"108",14675,8644,15,0,5,4,5,545,1,0.523809523809524,0.621532416502947,4.7,2,2,2,"高价值客户"
"109",14676,7697,15,7,5,4,4,544,0.96551724137931,0.523809523809524,0.547111984282908,4.5,2,2,2,"高价值客户"
"110",14677,8064,15,18,3,4,4,344,0.911330049261084,0.523809523809524,0.575952848722986,3.5,2,2,1,"重点保持客户"
"111",14678,7181,12,5,5,2,4,524,0.975369458128079,0.380952380952381,0.506561886051081,3.9,2,1,2,"重点发展客户"
"112",14679,4626,10,34,2,1,1,211,0.832512315270936,0.285714285714286,0.305776031434185,1.5,1,1,1,"潜在客户"
